title,author,category,description,publication_year,language,pages
Harry Potter và Hòn đá Phù thủy,J.K. Rowling,Tiểu thuyết,"Harry Potter và Hòn đá Phù thủy là tiểu thuyết kỳ ảo của nhà văn Anh J. K. Rowling. Đây là cuốn đầu trong series Harry Potter, kể về Harry Potter, một phù thủy trẻ tuổi mới phát hiện ra di sản phép thuật của mình khi được gửi thư mời học tại Học viện Ma thuật và Pháp thuật Hogwarts.",1997,Tiếng Việt,366
Cây cam ngọt của tôi,José Mauro de Vasconcelos,Tiểu thuyết,"Cây cam ngọt của tôi là tiểu thuyết bán tự truyện của nhà văn Brazil José Mauro de Vasconcelos, xuất bản năm 1968. Tác phẩm đã được dịch ra nhiều thứ tiếng trên thế giới và được đánh giá cao.",1968,Tiếng Việt,244
Lập trình Python cơ bản,Mark Lutz,Lập trình,"Cuốn sách cung cấp các kiến thức cơ bản về ngôn ngữ lập trình Python, phù hợp cho người mới bắt đầu. Sách bao gồm các khái niệm cơ bản, cú pháp và các ví dụ thực tế.",2022,Tiếng Việt,450
Deep Learning cơ bản,Yoshua Bengio,AI & Machine Learning,"Giới thiệu tổng quan về deep learning, mạng nơ-ron và các ứng dụng trong AI hiện đại. Sách cung cấp cả lý thuyết và thực hành với nhiều ví dụ minh họa.",2020,Tiếng Việt,520
Đắc nhân tâm,Dale Carnegie,Kinh doanh & Kỹ năng,"Đắc nhân tâm (How to Win Friends and Influence People) là một quyển sách nhằm tự giúp bản thân (self-help) bán chạy nhất từ trước đến nay. Quyển sách này do Dale Carnegie viết và đã được xuất bản lần đầu vào năm 1936.",1936,Tiếng Việt,320
Blockchain: Bản chất của Bitcoin và tiền điện tử,Satoshi Nakamoto,Lập trình,"Quyển sách giới thiệu về công nghệ blockchain, cách thức hoạt động của Bitcoin và các loại tiền điện tử khác. Sách giúp người đọc hiểu rõ hơn về các khái niệm kỹ thuật đằng sau tiền điện tử.",2021,Tiếng Việt,280
Trí tuệ nhân tạo trong kinh doanh,Kai-Fu Lee,AI & Machine Learning,"Cuốn sách phân tích tác động của AI đối với các mô hình kinh doanh hiện đại và tương lai của công việc. Tác giả cung cấp cái nhìn sâu sắc về việc các doanh nghiệp có thể tận dụng AI như thế nào.",2019,Tiếng Việt,340
Đọc vị bất kỳ ai,David J. Lieberman,Kinh doanh & Kỹ năng,"Cuốn sách hướng dẫn cách nhận biết tâm lý và hành vi của người khác thông qua những biểu hiện, cử chỉ và ngôn ngữ cơ thể.",2018,Tiếng Việt,235
Khởi nghiệp tinh gọn,Eric Ries,Kinh doanh & Kỹ năng,"Cuốn sách giới thiệu phương pháp Lean Startup, một cách tiếp cận mới để phát triển doanh nghiệp và sản phẩm. Sách nhấn mạnh vào việc học hỏi từ thất bại và liên tục điều chỉnh.",2011,Tiếng Việt,290
Code dạo ký sự,Phạm Huy Hoàng,Lập trình,"Sách chia sẻ trải nghiệm thực tế của một lập trình viên người Việt, kèm theo các bài học quý giá về nghề nghiệp và kỹ năng lập trình.",2020,Tiếng Việt,325